Line,Total,Yes,No,Somewhat
ACE,80,23,53,4
BDFM,118,29,88,1
NRQW,83,22,56,5
JZ,30,6,23,1
123,93,22,68,3
456,91,22,64,5
7,22,6,15,1
G,22,1,20,1
L,24,5,17,2
S,12,3,8,1
