,Population,Median Income (2019),
Queens,"4,460,101",,https://data.cityofnewyork.us/City-Government/NYC-Population-by-Borough/h2bk-zmw6
Brooklyn,"4,970,026","$68,080 ",https://furmancenter.org/stateofthecity/view/citywide-and-borough-data
Staten Island,"912,458",,
Manhattan,"3,123,068","$95,250 ",
Bronx,"2,717,758",,
